"","Candidate ID","Prediction","Probablity_Yes","Probablity_No"
"1","Candidate 10","Yes",0.122855439782143,0.877144560217857
"2","Candidate 20","Yes",0.0930650755763054,0.906934924423695
"3","Candidate 30","Yes",0.280314892530441,0.719685107469559
"4","Candidate 40","Yes",0.263096004724503,0.736903995275497
"5","Candidate 50","Yes",0.271897733211517,0.728102266788483
"6","Candidate 60","Yes",0.254175841808319,0.745824158191681
"7","Candidate 70","Yes",0.254175841808319,0.745824158191681
"8","Candidate 80","Yes",0.271897733211517,0.728102266788483
"9","Candidate 90","No",0.91992574930191,0.0800742506980896
"10","Candidate 100","Yes",0.320264965295792,0.679735034704208
"11","Candidate 110","Yes",0.320264965295792,0.679735034704208
"12","Candidate 120","Yes",0.250486671924591,0.749513328075409
"13","Candidate 130","Yes",0.320264965295792,0.679735034704208
"14","Candidate 140","Yes",0.0828349217772484,0.917165078222752
"15","Candidate 150","Yes",0.0828349217772484,0.917165078222752
"16","Candidate 160","Yes",0.242282897233963,0.757717102766037
"17","Candidate 170","Yes",0.274026423692703,0.725973576307297
"18","Candidate 180","Yes",0.256214588880539,0.743785411119461
"19","Candidate 190","Yes",0.274026423692703,0.725973576307297
"20","Candidate 200","Yes",0.242282897233963,0.757717102766037
"21","Candidate 210","Yes",0.274026423692703,0.725973576307297
"22","Candidate 220","Yes",0.274026423692703,0.725973576307297
"23","Candidate 230","Yes",0.274026423692703,0.725973576307297
"24","Candidate 240","Yes",0.289087146520615,0.710912853479385
"25","Candidate 250","Yes",0.158358708024025,0.841641291975975
"26","Candidate 260","Yes",0.194900751113892,0.805099248886108
"27","Candidate 271","Yes",0.158081531524658,0.841918468475342
"28","Candidate 280","Yes",0.416585743427277,0.583414256572723
"29","Candidate 290","No",0.862590432167053,0.137409567832947
"30","Candidate 300","Yes",0.480697721242905,0.519302278757095
"31","Candidate 310","Yes",0.172271430492401,0.827728569507599
"32","Candidate 321","Yes",0.128649219870567,0.871350780129433
"33","Candidate 332","Yes",0.244838505983353,0.755161494016647
"34","Candidate 347","No",0.552168011665344,0.447831988334656
"35","Candidate 356","Yes",0.326892286539078,0.673107713460922
"36","Candidate 368","Yes",0.237473472952843,0.762526527047157
"37","Candidate 383","Yes",0.367486119270325,0.632513880729675
"38","Candidate 398","Yes",0.129118457436562,0.870881542563438
"39","Candidate 412","No",0.718823850154877,0.281176149845123
"40","Candidate 427","Yes",0.171640411019325,0.828359588980675
"41","Candidate 436","Yes",0.215293809771538,0.784706190228462
"42","Candidate 451","Yes",0.107171110808849,0.892828889191151
"43","Candidate 466","Yes",0.20378865301609,0.79621134698391
"44","Candidate 478","No",0.535640001296997,0.464359998703003
"45","Candidate 493","Yes",0.495558857917786,0.504441142082214
"46","Candidate 508","Yes",0.389517366886139,0.610482633113861
"47","Candidate 523","Yes",0.389517366886139,0.610482633113861
"48","Candidate 538","Yes",0.128191605210304,0.871808394789696
"49","Candidate 553","Yes",0.299739271402359,0.700260728597641
"50","Candidate 571","No",0.92985463142395,0.0701453685760498
"51","Candidate 583","Yes",0.266108900308609,0.733891099691391
"52","Candidate 598","Yes",0.258161395788193,0.741838604211807
"53","Candidate 613","Yes",0.364186942577362,0.635813057422638
"54","Candidate 631","Yes",0.276276856660843,0.723723143339157
"55","Candidate 646","No",0.523216545581818,0.476783454418182
"56","Candidate 661","No",0.890778183937073,0.109221816062927
"57","Candidate 676","No",0.524782776832581,0.475217223167419
"58","Candidate 691","Yes",0.322550624608994,0.677449375391006
"59","Candidate 706","Yes",0.339032769203186,0.660967230796814
"60","Candidate 721","Yes",0.225036352872849,0.774963647127151
"61","Candidate 736","Yes",0.270104855298996,0.729895144701004
"62","Candidate 751","Yes",0.339032769203186,0.660967230796814
"63","Candidate 766","Yes",0.288530915975571,0.711469084024429
"64","Candidate 781","Yes",0.30628365278244,0.69371634721756
"65","Candidate 796","No",0.776145458221436,0.223854541778564
"66","Candidate 814","Yes",0.339032769203186,0.660967230796814
"67","Candidate 829","No",0.543181717395782,0.456818282604218
"68","Candidate 844","Yes",0.220227032899857,0.779772967100143
"69","Candidate 859","Yes",0.321608185768127,0.678391814231873
"70","Candidate 871","Yes",0.300986558198929,0.699013441801071
"71","Candidate 889","Yes",0.108586885035038,0.891413114964962
"72","Candidate 904","No",0.592810153961182,0.407189846038818
"73","Candidate 919","No",0.980160415172577,0.0198395848274231
"74","Candidate 937","No",0.968636810779572,0.0313631892204285
"75","Candidate 952","Yes",0.131335452198982,0.868664547801018
"76","Candidate 967","No",0.988610029220581,0.0113899707794189
"77","Candidate 982","No",0.919983148574829,0.0800168514251709
"78","Candidate 1000","Yes",0.0668734610080719,0.933126538991928
"79","Candidate 1015","Yes",0.0383499674499035,0.961650032550097
"80","Candidate 1033","Yes",0.342102289199829,0.657897710800171
"81","Candidate 1048","Yes",0.13932067155838,0.86067932844162
"82","Candidate 1063","No",0.794537305831909,0.205462694168091
"83","Candidate 1078","No",0.665945947170258,0.334054052829742
"84","Candidate 1093","Yes",0.322550624608994,0.677449375391006
"85","Candidate 1108","Yes",0.322550624608994,0.677449375391006
"86","Candidate 1123","Yes",0.322550624608994,0.677449375391006
"87","Candidate 1138","Yes",0.225036352872849,0.774963647127151
"88","Candidate 1156","Yes",0.322550624608994,0.677449375391006
"89","Candidate 1171","Yes",0.225036352872849,0.774963647127151
"90","Candidate 1189","Yes",0.197424486279488,0.802575513720512
"91","Candidate 1207","Yes",0.238288253545761,0.761711746454239
"92","Candidate 1222","Yes",0.120973519980907,0.879026480019093
"93","Candidate 1233","Yes",0.475342988967896,0.524657011032104
